name_vi,name_en,category_vi,category_en,serving_g,calories_kcal,carbs_g,fiber_g,protein_g,fat_g,gi_value,gl_value,gi_class,diabetes_note,source
Cơm trắng,White rice (cooked),Ngũ cốc,Grains,150,195,43,0.4,4,0.4,72,31.0,High,Cơm trắng có GI cao (72) — hạn chế với người tiểu đường. Nên thay bằng các lựa chọn GI thấp hơn hoặc giảm khẩu phần.,VDD+IntlGI
Cơm gạo lứt,Brown rice (cooked),Ngũ cốc,Grains,150,165,34,1.8,3.5,0.9,50,17.0,Low,Cơm gạo lứt có GI thấp (50) — phù hợp cho người tiểu đường. Mỗi khẩu phần 150g cung cấp 34g carbs.,VDD+IntlGI
Bánh mì trắng,White bread,Bánh,Bread,60,159,30,0.8,5,1.5,75,22.5,High,Bánh mì trắng có GI cao (75) — hạn chế với người tiểu đường. Nên thay bằng các lựa chọn GI thấp hơn hoặc giảm khẩu phần.,IntlGI
Bánh mì đen (ngũ cốc),Wholegrain bread,Bánh,Bread,60,138,24,3.2,5.5,1.8,51,12.2,Low,Bánh mì đen (ngũ cốc) có GI thấp (51) — phù hợp cho người tiểu đường. Mỗi khẩu phần 60g cung cấp 24g carbs.,IntlGI
"Bún (bún bò, bún riêu)",Rice vermicelli (cooked),Ngũ cốc,Noodles,200,216,47,0.2,4.4,0.4,58,27.3,Medium,"Bún (bún bò, bún riêu) có GI trung bình (58) — ăn vừa phải, kết hợp với rau xanh và protein để giảm tác động đường huyết.",VDD+IntlGI
Phở (bánh phở),Pho rice noodles (cooked),Ngũ cốc,Noodles,200,200,44,0.3,3.8,0.3,61,26.8,Medium,"Phở (bánh phở) có GI trung bình (61) — ăn vừa phải, kết hợp với rau xanh và protein để giảm tác động đường huyết.",VDD+IntlGI
Mì tôm (mì ăn liền),Instant noodles,Ngũ cốc,Noodles,85,375,52,2,8,14,47,24.4,Low,Mì tôm (mì ăn liền) có GI thấp (47) — phù hợp cho người tiểu đường. Mỗi khẩu phần 85g cung cấp 52g carbs.,IntlGI
Khoai lang,Sweet potato (boiled),Củ,Root vegetables,150,130,30,3.8,2.3,0.1,44,13.2,Low,Khoai lang có GI thấp (44) — phù hợp cho người tiểu đường. Mỗi khẩu phần 150g cung cấp 30g carbs.,IntlGI
Khoai tây luộc,White potato (boiled),Củ,Root vegetables,150,116,27,2.4,2.5,0.1,78,21.1,High,Khoai tây luộc có GI cao (78) — hạn chế với người tiểu đường. Nên thay bằng các lựa chọn GI thấp hơn hoặc giảm khẩu phần.,IntlGI
Sắn (khoai mì),Cassava (boiled),Củ,Root vegetables,100,160,38,1.8,1.4,0.3,46,17.5,Low,Sắn (khoai mì) có GI thấp (46) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 38g carbs.,VDD
"Thịt gà (không da, luộc)","Chicken breast (cooked, skinless)",Thịt,Poultry,100,165,0,0,31,3.6,0,,Low,"Thịt gà (không da, luộc) có GI thấp (0) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 0g carbs.",VDD
Thịt heo nạc,Lean pork,Thịt,Meat,100,143,0,0,26,3.5,0,,Low,Thịt heo nạc có GI thấp (0) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 0g carbs.,VDD
Cá tra,Pangasius fish (steamed),Hải sản,Fish,100,128,0,0,18,6,0,,Low,Cá tra có GI thấp (0) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 0g carbs.,VDD
Cá ngừ,Tuna (canned in water),Hải sản,Fish,100,116,0,0,26,1,0,,Low,Cá ngừ có GI thấp (0) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 0g carbs.,IntlGI
Trứng gà,Chicken egg (whole),Trứng,Eggs,60,86,0.6,0,7.5,5.8,0,,Low,Trứng gà có GI thấp (0) — phù hợp cho người tiểu đường. Mỗi khẩu phần 60g cung cấp 0.6g carbs.,VDD
Đậu hũ (tàu hũ),Tofu (firm),Đậu,Legumes,100,76,1.9,0.3,8.1,4.2,15,0.3,Low,Đậu hũ (tàu hũ) có GI thấp (15) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 1.9g carbs.,IntlGI
Đậu xanh (nấu chín),Mung beans (cooked),Đậu,Legumes,100,105,19,7.6,7.0,0.4,25,4.8,Low,Đậu xanh (nấu chín) có GI thấp (25) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 19g carbs.,IntlGI
Rau muống luộc,Water spinach (cooked),Rau,Vegetables,100,19,3.1,2.1,2.6,0.2,,,Unknown,Rau muống luộc: 3.1g carbs/100g. Chưa có dữ liệu GI — theo dõi đường huyết sau khi ăn.,VDD
Cải xanh,Chinese cabbage,Rau,Vegetables,100,16,2.8,1.6,1.6,0.2,,,Unknown,Cải xanh: 2.8g carbs/100g. Chưa có dữ liệu GI — theo dõi đường huyết sau khi ăn.,VDD
Đậu bắp (bắp chuối),Okra,Rau,Vegetables,100,33,7,3.2,1.9,0.2,20,1.4,Low,Đậu bắp (bắp chuối) có GI thấp (20) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 7g carbs.,IntlGI
Cà chua,Tomato,Rau,Vegetables,100,18,3.9,1.2,0.9,0.2,15,0.6,Low,Cà chua có GI thấp (15) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 3.9g carbs.,IntlGI
Khổ qua (mướp đắng),Bitter melon,Rau,Vegetables,100,17,3.7,2.8,1.0,0.2,,,Unknown,Khổ qua (mướp đắng): 3.7g carbs/100g. Chưa có dữ liệu GI — theo dõi đường huyết sau khi ăn.,VDD
Ổi,Guava,Trái cây,Fruits,100,68,14,5.4,2.6,0.9,12,1.7,Low,Ổi có GI thấp (12) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 14g carbs.,IntlGI
Bưởi,Pomelo,Trái cây,Fruits,100,38,9.6,1.1,0.7,0.1,25,2.4,Low,Bưởi có GI thấp (25) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 9.6g carbs.,IntlGI
Táo,Apple,Trái cây,Fruits,100,52,14,2.4,0.3,0.2,36,5.0,Low,Táo có GI thấp (36) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 14g carbs.,IntlGI
Xoài chín,Ripe mango,Trái cây,Fruits,100,60,15,1.6,0.8,0.4,51,7.7,Low,Xoài chín có GI thấp (51) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 15g carbs.,IntlGI
Chuối chín,Ripe banana,Trái cây,Fruits,100,89,23,2.6,1.1,0.3,51,11.7,Low,Chuối chín có GI thấp (51) — phù hợp cho người tiểu đường. Mỗi khẩu phần 100g cung cấp 23g carbs.,IntlGI
Dưa hấu,Watermelon,Trái cây,Fruits,150,46,11,0.6,0.9,0.2,76,8.4,High,Dưa hấu có GI cao (76) — hạn chế với người tiểu đường. Nên thay bằng các lựa chọn GI thấp hơn hoặc giảm khẩu phần.,IntlGI
Sữa tươi không đường,Fresh milk (unsweetened),Sữa,Dairy,200,122,9.5,0,6.6,6.6,27,2.6,Low,Sữa tươi không đường có GI thấp (27) — phù hợp cho người tiểu đường. Mỗi khẩu phần 200g cung cấp 9.5g carbs.,IntlGI
Sữa chua không đường,Plain yogurt (unsweetened),Sữa,Dairy,150,92,11,0,7.5,2.3,17,1.9,Low,Sữa chua không đường có GI thấp (17) — phù hợp cho người tiểu đường. Mỗi khẩu phần 150g cung cấp 11g carbs.,IntlGI
Nước dừa,Coconut water,Đồ uống,Beverages,250,46,9,2.6,1.7,0.5,,,Unknown,Nước dừa: 9g carbs/250g. Chưa có dữ liệu GI — theo dõi đường huyết sau khi ăn.,VDD
